epoch,phase,total,main,shunt,mae,rmse,r2
1,train,4.28512,4.28494,0.03625,10.7957,12.9557,-2.1392
1,val,1.69888,1.69887,0.00165,6.9333,8.1577,-0.6902
2,train,1.80393,1.80364,0.05845,7.0548,8.4055,-0.2877
2,val,0.96798,0.96798,0.00085,5.1474,6.1577,0.0370
3,train,1.36753,1.36732,0.04245,6.3551,7.3185,0.0623
3,val,0.78287,0.78286,0.00034,4.7613,5.5377,0.2211
4,train,1.30068,1.30063,0.01101,6.1400,7.1378,0.1037
4,val,0.68494,0.68494,0.00010,4.6800,5.1798,0.3186
5,train,1.01756,1.01754,0.00384,5.2410,6.3134,0.3153
5,val,0.51798,0.51798,0.00002,3.8979,4.5045,0.4847
6,train,0.78776,0.78774,0.00561,4.5486,5.5549,0.4290
6,val,0.61452,0.61452,0.00003,3.8717,4.9063,0.3886
7,train,0.72797,0.72796,0.00331,4.4176,5.3400,0.4613
7,val,0.71104,0.71104,0.00007,4.2056,5.2776,0.2926
8,train,0.64660,0.64660,0.00035,3.6641,5.0328,0.5407
8,val,0.73305,0.73305,0.00007,4.3045,5.3587,0.2707
9,train,0.50583,0.50581,0.00430,3.5207,4.4512,0.6481
9,val,0.75709,0.75709,0.00005,3.9714,5.4458,0.2468
10,train,0.50166,0.50165,0.00037,3.4595,4.4329,0.6314
10,val,0.79678,0.79678,0.00003,4.4099,5.5867,0.2073
11,train,0.25591,0.25589,0.00356,2.5417,3.1660,0.8036
11,val,0.75495,0.75495,0.00001,4.2909,5.4381,0.2489
12,train,0.41432,0.41428,0.00698,3.3078,4.0284,0.7020
12,val,0.63270,0.63270,0.00000,3.9354,4.9784,0.3705
13,train,0.28746,0.28737,0.01761,2.6914,3.3551,0.7887
13,val,0.60945,0.60945,0.00000,3.8611,4.8861,0.3937
14,train,0.31853,0.31851,0.00268,2.8805,3.5323,0.7520
14,val,0.68188,0.68188,0.00001,4.2183,5.1683,0.3216
15,train,0.16156,0.16149,0.01429,1.7719,2.5151,0.8942
15,val,0.60621,0.60621,0.00001,3.8759,4.8730,0.3969
16,train,0.22576,0.22568,0.01466,2.2028,2.9733,0.8318
16,val,0.52812,0.52812,0.00005,3.6010,4.5484,0.4746
17,train,0.22689,0.22686,0.00615,2.2950,2.9810,0.8432
17,val,0.47995,0.47995,0.00005,3.5230,4.3360,0.5225
18,train,0.22459,0.22455,0.00876,2.1821,2.9658,0.8408
18,val,0.60210,0.60210,0.00003,3.7920,4.8565,0.4010
19,train,0.18021,0.18019,0.00389,2.0931,2.6568,0.8771
19,val,0.70026,0.70026,0.00002,4.0903,5.2374,0.3033
20,train,0.17287,0.17286,0.00290,2.1013,2.6021,0.8643
20,val,0.60284,0.60283,0.00003,3.8994,4.8595,0.4003
21,train,0.19035,0.19034,0.00182,2.1257,2.7306,0.8634
21,val,0.62019,0.62019,0.00003,3.5763,4.9289,0.3830
22,train,0.10370,0.10370,0.00050,1.6995,2.0155,0.9123
22,val,0.53224,0.53224,0.00003,3.4283,4.5661,0.4705
23,train,0.16593,0.16593,0.00017,2.0159,2.5494,0.8906
23,val,0.73672,0.73672,0.00003,3.7200,5.3721,0.2671
24,train,0.19440,0.19440,0.00014,2.2079,2.7596,0.8741
24,val,0.74630,0.74630,0.00005,3.8198,5.4069,0.2575
25,train,0.11140,0.11140,0.00014,1.6429,2.0890,0.9295
25,val,0.61324,0.61324,0.00004,3.9758,4.9012,0.3899
26,train,0.15475,0.15475,0.00010,1.8857,2.4621,0.8630
26,val,0.52065,0.52065,0.00004,3.4137,4.5161,0.4820
27,train,0.11882,0.11882,0.00000,1.7672,2.1574,0.9072
27,val,0.57486,0.57486,0.00005,3.5508,4.7454,0.4281
28,train,0.08342,0.08342,0.00001,1.4033,1.8077,0.9380
28,val,0.56610,0.56610,0.00006,3.6817,4.7091,0.4368
29,train,0.12001,0.12001,0.00012,1.7692,2.1682,0.9059
29,val,0.59410,0.59410,0.00010,3.7071,4.8241,0.4089
30,train,0.10215,0.10215,0.00017,1.6043,2.0003,0.9075
30,val,0.68717,0.68717,0.00014,4.0096,5.1882,0.3164
31,train,0.10839,0.10839,0.00004,1.5815,2.0606,0.9232
31,val,0.64038,0.64038,0.00011,3.9464,5.0085,0.3629
32,train,0.08835,0.08835,0.00066,1.4598,1.8603,0.9382
32,val,0.72344,0.72344,0.00007,4.2247,5.3234,0.2803
33,train,0.14897,0.14897,0.00004,1.8976,2.4157,0.8552
33,val,0.74736,0.74736,0.00005,4.3693,5.4107,0.2565
34,train,0.08860,0.08860,0.00027,1.4631,1.8630,0.9245
34,val,0.76772,0.76772,0.00008,4.0646,5.4839,0.2362
35,train,0.08335,0.08335,0.00052,1.3167,1.8070,0.9331
