epoch,phase,total,main,shunt,mae,rmse,r2
1,train,2.76453,2.76305,0.04936,8.4327,10.4036,-1.0067
1,val,1.46447,1.46440,0.00204,6.2668,7.5739,-0.5801
2,train,1.31821,1.31704,0.03925,5.9106,7.1827,0.0494
2,val,1.04148,1.04143,0.00144,5.2133,6.3871,-0.1237
3,train,1.10430,1.10281,0.04967,5.1472,6.5726,0.1723
3,val,0.73983,0.73981,0.00065,4.2891,5.3833,0.2017
4,train,0.83686,0.83611,0.02487,4.7430,5.7230,0.2944
4,val,0.67592,0.67591,0.00036,4.1000,5.1456,0.2707
5,train,0.56648,0.56594,0.01797,3.8368,4.7084,0.5881
5,val,0.57416,0.57415,0.00030,3.7115,4.7424,0.3805
6,train,0.59119,0.59100,0.00620,3.8316,4.8115,0.5603
6,val,0.81861,0.81860,0.00007,4.2113,5.6627,0.1167
7,train,0.81872,0.81843,0.00971,4.5923,5.6621,0.4693
7,val,0.62650,0.62649,0.00023,4.0019,4.9539,0.3240
8,train,0.78148,0.78074,0.02476,4.5954,5.5302,0.4973
8,val,0.51797,0.51795,0.00037,3.5719,4.5044,0.4411
9,train,0.45974,0.45949,0.00834,3.4570,4.2425,0.6488
9,val,0.83994,0.83993,0.00039,4.5534,5.7360,0.0937
10,train,0.58495,0.58415,0.02650,3.8775,4.7836,0.5788
10,val,0.50647,0.50646,0.00055,3.8295,4.4541,0.4535
11,train,0.47619,0.47604,0.00493,2.8384,4.3183,0.7042
11,val,0.53139,0.53139,0.00009,3.8092,4.5624,0.4266
12,train,0.33092,0.33086,0.00201,2.6749,3.6000,0.7111
12,val,0.59756,0.59756,0.00006,3.9711,4.8382,0.3552
13,train,0.38589,0.38525,0.02121,2.6520,3.8847,0.6876
13,val,0.55053,0.55053,0.00013,3.9012,4.6439,0.4060
14,train,0.34045,0.33978,0.02237,2.8100,3.6483,0.7494
14,val,0.49158,0.49158,0.00008,3.7873,4.3882,0.4696
15,train,0.30982,0.30980,0.00066,2.7114,3.4836,0.7520
15,val,0.49460,0.49460,0.00006,3.8886,4.4016,0.4663
16,train,0.27923,0.27871,0.01741,2.5521,3.3042,0.8137
16,val,0.51699,0.51699,0.00006,3.8024,4.5002,0.4422
17,train,0.20094,0.20067,0.00889,2.1985,2.8037,0.8500
17,val,0.56185,0.56185,0.00007,3.8235,4.6914,0.3938
18,train,0.19156,0.19083,0.02445,2.0797,2.7341,0.8677
18,val,0.61618,0.61617,0.00012,4.3668,4.9129,0.3352
19,train,0.35992,0.35928,0.02148,2.7951,3.7515,0.6557
19,val,0.54308,0.54308,0.00006,3.8823,4.6123,0.4140
20,train,0.25485,0.25430,0.01809,2.5154,3.1562,0.8184
20,val,0.47126,0.47126,0.00004,3.6641,4.2965,0.4915
21,train,0.22080,0.22072,0.00276,2.1912,2.9404,0.8477
21,val,0.69684,0.69684,0.00006,3.8242,5.2246,0.2481
22,train,0.45482,0.45408,0.02457,3.3802,4.2175,0.6701
22,val,0.50716,0.50715,0.00020,3.6132,4.4572,0.4528
23,train,0.22090,0.21981,0.03629,2.2983,2.9344,0.8598
23,val,0.53861,0.53861,0.00027,4.1543,4.5933,0.4188
24,train,0.17372,0.17299,0.02454,1.9763,2.6031,0.8578
24,val,0.56379,0.56378,0.00016,4.3423,4.6994,0.3917
25,train,0.12282,0.12248,0.01140,1.6970,2.1904,0.8975
25,val,0.55812,0.55812,0.00010,4.1692,4.6757,0.3978
26,train,0.18076,0.18059,0.00557,2.1532,2.6598,0.8619
26,val,0.58653,0.58652,0.00022,4.3188,4.7933,0.3671
27,train,0.10657,0.10600,0.01886,1.6397,2.0377,0.9269
27,val,0.70965,0.70964,0.00041,4.6361,5.2724,0.2343
28,train,0.10238,0.10194,0.01449,1.6007,1.9983,0.9363
28,val,0.59339,0.59338,0.00034,4.4278,4.8212,0.3597
29,train,0.11801,0.11713,0.02946,1.8154,2.1420,0.9208
29,val,0.48346,0.48344,0.00078,3.8901,4.3517,0.4784
30,train,0.14446,0.14340,0.03534,1.8596,2.3701,0.9116
30,val,0.44957,0.44956,0.00035,3.8456,4.1964,0.5149
31,train,0.18154,0.18078,0.02519,2.0689,2.6611,0.8729
31,val,0.35455,0.35454,0.00015,3.2004,3.7267,0.6175
32,train,0.09133,0.09123,0.00319,1.5632,1.8904,0.9295
32,val,0.37597,0.37596,0.00013,3.3535,3.8376,0.5943
33,train,0.12585,0.12569,0.00546,1.7537,2.2189,0.8919
33,val,0.38085,0.38085,0.00013,3.4907,3.8625,0.5891
34,train,0.09980,0.09958,0.00728,1.6593,1.9750,0.9331
34,val,0.38396,0.38396,0.00015,3.4886,3.8782,0.5857
35,train,0.10913,0.10837,0.02521,1.5135,2.0604,0.9339
35,val,0.34746,0.34746,0.00015,3.1896,3.6893,0.6251
36,train,0.12922,0.12863,0.01955,1.8418,2.2447,0.9151
36,val,0.43132,0.43132,0.00016,3.7264,4.1104,0.5346
37,train,0.10833,0.10819,0.00479,1.6156,2.0587,0.9058
37,val,0.47064,0.47064,0.00004,3.6544,4.2937,0.4922
38,train,0.13970,0.13966,0.00134,1.8105,2.3390,0.8818
38,val,0.40544,0.40544,0.00007,3.3925,3.9852,0.5625
39,train,0.09363,0.09330,0.01085,1.5309,1.9118,0.9251
39,val,0.50506,0.50506,0.00015,3.8095,4.4480,0.4550
40,train,0.05266,0.05216,0.01680,1.1113,1.4294,0.9645
40,val,0.35903,0.35903,0.00015,3.1420,3.7502,0.6126
41,train,0.13057,0.13044,0.00459,1.6229,2.2604,0.8908
41,val,0.35727,0.35727,0.00015,3.2235,3.7410,0.6145
42,train,0.10596,0.10584,0.00405,1.6083,2.0361,0.9185
42,val,0.56304,0.56304,0.00016,4.0856,4.6963,0.3925
43,train,0.08932,0.08900,0.01064,1.3616,1.8672,0.9395
43,val,0.45221,0.45220,0.00014,3.7635,4.2088,0.5121
44,train,0.09440,0.09427,0.00408,1.4396,1.9217,0.9340
44,val,0.46851,0.46850,0.00013,4.0122,4.2840,0.4945
45,train,0.05864,0.05854,0.00320,1.2188,1.5143,0.9632
45,val,0.44934,0.44934,0.00013,3.8045,4.1954,0.5152
46,train,0.04609,0.04591,0.00572,1.0082,1.3411,0.9639
46,val,0.40713,0.40713,0.00012,3.4796,3.9935,0.5607
47,train,0.06523,0.06505,0.00624,1.2395,1.5963,0.9470
47,val,0.38056,0.38055,0.00008,3.4892,3.8610,0.5894
48,train,0.06370,0.06354,0.00514,1.2195,1.5777,0.9484
48,val,0.36730,0.36730,0.00009,3.4036,3.7931,0.6037
49,train,0.08529,0.08524,0.00164,1.4355,1.8274,0.9322
49,val,0.38064,0.38064,0.00010,3.4562,3.8614,0.5893
50,train,0.06097,0.06061,0.01206,1.2020,1.5408,0.9510
50,val,0.37311,0.37311,0.00009,3.3541,3.8230,0.5974
51,train,0.06428,0.06417,0.00374,1.2562,1.5854,0.9524
51,val,0.39901,0.39900,0.00009,3.5154,3.9535,0.5695
52,train,0.05720,0.05686,0.01124,1.1887,1.4924,0.9554
52,val,0.36088,0.36087,0.00010,3.2666,3.7598,0.6106
53,train,0.04826,0.04780,0.01530,1.0139,1.3684,0.9660
53,val,0.43170,0.43170,0.00007,3.7748,4.1122,0.5342
54,train,0.06645,0.06606,0.01313,1.2548,1.6086,0.9500
54,val,0.40704,0.40703,0.00008,3.4260,3.9930,0.5608
55,train,0.03992,0.03970,0.00720,0.9718,1.2471,0.9719
55,val,0.42460,0.42460,0.00013,3.5982,4.0783,0.5419
56,train,0.05749,0.05703,0.01534,1.2453,1.4946,0.9556
56,val,0.46649,0.46648,0.00020,3.7530,4.2747,0.4967
57,train,0.07462,0.07447,0.00485,1.3167,1.7080,0.9453
57,val,0.41565,0.41565,0.00013,3.3583,4.0351,0.5515
58,train,0.03824,0.03780,0.01454,0.9348,1.2169,0.9731
58,val,0.40196,0.40196,0.00010,3.4574,3.9681,0.5663
59,train,0.07314,0.07293,0.00730,1.3538,1.6902,0.9516
59,val,0.43774,0.43773,0.00007,3.7334,4.1409,0.5277
60,train,0.05451,0.05428,0.00753,1.1572,1.4582,0.9627
60,val,0.49112,0.49112,0.00008,3.9907,4.3861,0.4701
61,train,0.09328,0.09314,0.00457,1.5027,1.9101,0.9224
61,val,0.42743,0.42743,0.00007,3.3225,4.0918,0.5388
62,train,0.05783,0.05770,0.00439,1.1939,1.5033,0.9591
62,val,0.54350,0.54350,0.00009,3.9777,4.6141,0.4136
63,train,0.05497,0.05488,0.00294,1.1310,1.4662,0.9520
63,val,0.38755,0.38755,0.00007,3.2679,3.8963,0.5818
64,train,0.05963,0.05944,0.00624,1.2124,1.5259,0.9600
64,val,0.43142,0.43142,0.00006,3.4529,4.1109,0.5345
65,train,0.05096,0.05090,0.00210,1.1587,1.4120,0.9650
65,val,0.50531,0.50531,0.00006,4.1618,4.4491,0.4548
66,train,0.05087,0.05072,0.00488,1.0761,1.4096,0.9576
66,val,0.47194,0.47194,0.00006,3.8359,4.2996,0.4908
67,train,0.04671,0.04654,0.00545,1.0679,1.3502,0.9700
67,val,0.55634,0.55634,0.00008,3.8659,4.6683,0.3997
68,train,0.05395,0.05386,0.00303,1.0823,1.4525,0.9583
68,val,0.40713,0.40713,0.00009,3.4572,3.9935,0.5607
69,train,0.06227,0.06217,0.00335,1.2417,1.5606,0.9543
69,val,0.42223,0.42222,0.00010,3.7512,4.0669,0.5444
70,train,0.05793,0.05771,0.00743,1.0679,1.5035,0.9650
70,val,0.36632,0.36631,0.00006,3.3161,3.7881,0.6047
71,train,0.04099,0.04091,0.00281,0.9410,1.2659,0.9685
71,val,0.37470,0.37470,0.00006,3.2450,3.8312,0.5957
72,train,0.06128,0.06095,0.01082,1.1816,1.5452,0.9604
72,val,0.37257,0.37257,0.00008,3.1412,3.8202,0.5980
73,train,0.05923,0.05911,0.00411,1.1863,1.5217,0.9640
73,val,0.32319,0.32319,0.00006,3.1168,3.5581,0.6513
74,train,0.05955,0.05948,0.00238,1.1667,1.5264,0.9494
74,val,0.37034,0.37034,0.00006,3.3462,3.8088,0.6004
75,train,0.03650,0.03641,0.00300,0.9445,1.1943,0.9741
75,val,0.36010,0.36009,0.00005,3.1891,3.7558,0.6115
76,train,0.04494,0.04472,0.00720,1.0806,1.3236,0.9715
76,val,0.38293,0.38293,0.00005,3.3577,3.8730,0.5868
77,train,0.03612,0.03587,0.00826,0.9356,1.1853,0.9758
77,val,0.35372,0.35372,0.00006,3.2885,3.7224,0.6183
78,train,0.03209,0.03198,0.00347,0.9021,1.1193,0.9765
78,val,0.42716,0.42716,0.00004,3.4071,4.0906,0.5391
79,train,0.03709,0.03703,0.00193,0.9224,1.2044,0.9679
79,val,0.39449,0.39449,0.00002,3.2947,3.9310,0.5744
80,train,0.05538,0.05512,0.00854,1.0967,1.4694,0.9569
80,val,0.43241,0.43241,0.00003,3.6752,4.1156,0.5334
81,train,0.03639,0.03629,0.00348,0.9443,1.1923,0.9708
81,val,0.39110,0.39110,0.00003,3.2828,3.9141,0.5780
82,train,0.02727,0.02717,0.00339,0.7878,1.0316,0.9815
82,val,0.44756,0.44756,0.00003,3.5990,4.1871,0.5171
83,train,0.03699,0.03685,0.00466,0.9432,1.2015,0.9704
83,val,0.40672,0.40672,0.00002,3.5197,3.9915,0.5612
84,train,0.03886,0.03880,0.00189,0.9692,1.2329,0.9744
84,val,0.40772,0.40772,0.00003,3.5355,3.9964,0.5601
85,train,0.04669,0.04648,0.00690,1.0041,1.3494,0.9648
85,val,0.51279,0.51279,0.00006,3.5898,4.4818,0.4467
86,train,0.05809,0.05808,0.00031,1.0773,1.5084,0.9447
86,val,0.40566,0.40566,0.00005,3.5035,3.9863,0.5623
87,train,0.03384,0.03355,0.00989,0.8608,1.1464,0.9801
87,val,0.42619,0.42619,0.00006,3.6298,4.0859,0.5401
88,train,0.02547,0.02545,0.00081,0.7851,0.9985,0.9799
88,val,0.42194,0.42194,0.00005,3.6921,4.0655,0.5447
89,train,0.03068,0.03043,0.00844,0.7889,1.0918,0.9807
89,val,0.41674,0.41674,0.00004,3.7161,4.0404,0.5503
90,train,0.03320,0.03304,0.00525,0.8682,1.1376,0.9756
90,val,0.43577,0.43577,0.00005,3.7212,4.1316,0.5298
91,train,0.03039,0.03036,0.00110,0.8587,1.0905,0.9795
91,val,0.45757,0.45756,0.00006,3.7994,4.2337,0.5063
92,train,0.04216,0.04203,0.00462,0.9805,1.2831,0.9689
92,val,0.43898,0.43898,0.00005,3.6235,4.1468,0.5263
93,train,0.04157,0.04154,0.00098,1.0350,1.2756,0.9671
93,val,0.55997,0.55997,0.00005,4.0324,4.6835,0.3958
94,train,0.02711,0.02711,0.00026,0.7914,1.0304,0.9803
94,val,0.45545,0.45545,0.00004,3.7109,4.2239,0.5086
95,train,0.03040,0.03038,0.00058,0.8562,1.0909,0.9761
95,val,0.46880,0.46879,0.00004,3.6892,4.2853,0.4942
96,train,0.03109,0.03078,0.01039,0.8656,1.0980,0.9795
96,val,0.44391,0.44391,0.00004,3.6412,4.1700,0.5210
97,train,0.02890,0.02879,0.00364,0.7986,1.0620,0.9781
97,val,0.39459,0.39459,0.00003,3.4991,3.9315,0.5742
98,train,0.03060,0.03050,0.00343,0.8063,1.0931,0.9721
98,val,0.40433,0.40432,0.00003,3.4544,3.9797,0.5637
99,train,0.02502,0.02493,0.00286,0.6959,0.9882,0.9847
99,val,0.39664,0.39663,0.00004,3.4758,3.9417,0.5720
100,train,0.02789,0.02788,0.00046,0.7171,1.0450,0.9743
100,val,0.39908,0.39908,0.00005,3.4923,3.9538,0.5694
101,train,0.02994,0.02986,0.00268,0.8617,1.0815,0.9806
101,val,0.42563,0.42563,0.00006,3.5821,4.0832,0.5408
102,train,0.01888,0.01856,0.01072,0.6593,0.8526,0.9870
102,val,0.42201,0.42200,0.00006,3.6126,4.0658,0.5447
103,train,0.02055,0.02044,0.00357,0.6837,0.8949,0.9851
103,val,0.40091,0.40090,0.00006,3.5391,3.9629,0.5674
104,train,0.03017,0.03000,0.00561,0.8180,1.0841,0.9773
104,val,0.43731,0.43731,0.00005,3.5477,4.1389,0.5281
105,train,0.05283,0.05271,0.00410,1.0661,1.4369,0.9627
105,val,0.35892,0.35892,0.00003,3.2906,3.7496,0.6127
106,train,0.03080,0.03062,0.00600,0.8425,1.0952,0.9777
106,val,0.38681,0.38681,0.00004,3.2331,3.8926,0.5826
107,train,0.03018,0.03016,0.00069,0.8646,1.0869,0.9810
107,val,0.37705,0.37705,0.00004,3.2115,3.8432,0.5932
108,train,0.01629,0.01628,0.00040,0.6207,0.7986,0.9875
108,val,0.39962,0.39962,0.00004,3.2768,3.9565,0.5688
109,train,0.01193,0.01176,0.00556,0.5287,0.6788,0.9915
109,val,0.38855,0.38855,0.00003,3.2871,3.9013,0.5808
110,train,0.03353,0.03347,0.00196,0.8185,1.1450,0.9751
110,val,0.38932,0.38932,0.00003,3.3403,3.9052,0.5799
111,train,0.02382,0.02371,0.00395,0.7830,0.9637,0.9799
111,val,0.41336,0.41336,0.00004,3.4648,4.0240,0.5540
112,train,0.02204,0.02200,0.00125,0.7185,0.9284,0.9834
112,val,0.38692,0.38691,0.00004,3.4035,3.8931,0.5825
113,train,0.02580,0.02577,0.00089,0.7583,1.0048,0.9795
113,val,0.40214,0.40214,0.00005,3.4337,3.9689,0.5661
