epoch,phase,total,main,murray,press,smooth,physio,mono,spread,mae,rmse,r2
1,train,5.71399,5.22438,0.00074,0.00005,0.01363,0.00041,0.00000,0.97877,12.3875,13.9628,-3.7486
1,val,5.54005,5.04026,0.00062,0.00002,0.00629,0.00032,0.00000,0.99922,11.9472,13.4875,-3.5673
2,train,6.94967,6.46204,0.00324,0.00005,0.01639,0.03235,0.00000,0.97336,11.1262,13.4445,-2.2214
2,val,4.87991,4.38052,0.00663,0.00003,0.00629,0.00032,0.00000,0.99664,10.2653,11.9427,-2.5810
3,train,6.15828,5.67904,0.00897,0.00009,0.01286,0.01431,0.00000,0.95500,10.2237,12.1630,-2.3591
3,val,4.11707,3.61799,0.01431,0.00003,0.00629,0.00031,0.00000,0.99309,8.4226,10.0171,-1.5193
4,train,3.79907,3.33877,0.00835,0.00001,0.01129,0.00040,0.00000,0.91586,6.3308,8.5829,-0.3597
4,val,3.49236,2.99224,0.02908,0.00002,0.00629,0.00031,0.00000,0.99042,6.9345,8.3793,-0.7629
5,train,3.98376,3.53979,0.02280,0.00002,0.01327,0.00041,0.00000,0.87769,6.5252,8.3215,-0.3182
5,val,2.88779,2.39293,0.05385,0.00003,0.00629,0.00031,0.00000,0.97210,5.5567,6.8047,-0.1626
6,train,4.01792,3.62369,0.07628,0.00005,0.01544,0.00037,0.00000,0.76464,6.7512,8.1880,-0.2829
6,val,2.32309,1.85704,0.05556,0.00002,0.00629,0.00031,0.00000,0.91099,4.5255,5.6330,0.2033
7,train,2.65342,2.30286,0.07305,0.00003,0.01531,0.02300,0.00000,0.67225,5.4791,6.3634,0.2566
7,val,1.73894,1.34462,0.06131,0.00002,0.00629,0.00031,0.00000,0.76303,3.5175,4.6317,0.4614
8,train,2.21122,1.93660,0.07112,0.00003,0.01470,0.00036,0.00000,0.51931,4.8606,5.7529,0.4471
8,val,1.08119,0.89088,0.05129,0.00001,0.00629,0.00032,0.00000,0.35557,2.5918,3.6039,0.6739
9,train,1.28669,1.16155,0.06510,0.00002,0.01521,0.00044,0.00000,0.22114,3.6398,4.5865,0.5743
9,val,0.68232,0.65288,0.02568,0.00002,0.00629,0.00034,0.00000,0.03792,3.3286,3.8045,0.6366
10,train,1.15494,1.11426,0.03493,0.00003,0.01503,0.00054,0.00000,0.05504,4.1224,5.0599,0.4825
10,val,0.64986,0.62732,0.01089,0.00002,0.00629,0.00035,0.00000,0.02603,3.9731,4.5409,0.4823
11,train,0.68812,0.66756,0.02106,0.00005,0.01384,0.03314,0.00000,0.01656,3.5483,4.6515,0.5928
11,val,1.12004,1.04363,0.01180,0.00001,0.00629,0.00035,0.00000,0.13137,5.1265,5.7829,0.1604
12,train,0.88891,0.87251,0.02959,0.00003,0.01485,0.00039,0.00000,0.00152,3.5143,4.5416,0.6510
12,val,1.90880,1.76471,0.01820,0.00001,0.00629,0.00036,0.00000,0.26200,5.8482,6.7019,-0.1277
13,train,0.54868,0.53135,0.02514,0.00003,0.01173,0.00040,0.00000,0.00419,3.3229,4.3712,0.6536
13,val,1.46252,1.31158,0.03085,0.00001,0.00629,0.00037,0.00000,0.27174,5.4814,6.2830,0.0089
14,train,0.58090,0.54439,0.02871,0.00002,0.01187,0.00049,0.00000,0.04084,2.5991,3.4367,0.7500
14,val,2.20405,2.03487,0.05224,0.00001,0.00629,0.00037,0.00000,0.30350,6.6098,7.4398,-0.3897
15,train,0.70665,0.68765,0.03595,0.00003,0.01802,0.02132,0.00000,0.00040,3.4444,4.3929,0.6728
15,val,1.56817,1.40150,0.04551,0.00001,0.00629,0.00037,0.00000,0.29262,5.4916,6.3290,-0.0057
16,train,0.54995,0.52096,0.02899,0.00002,0.01931,0.00053,0.00000,0.01530,3.0675,4.1496,0.7056
16,val,1.65257,1.48457,0.06119,0.00001,0.00629,0.00038,0.00000,0.29170,5.8884,6.7043,-0.1285
17,train,0.38485,0.35582,0.03695,0.00001,0.01650,0.02566,0.00000,0.01768,3.1922,4.2842,0.6248
