epoch,phase,total,main,shunt,mae,rmse,r2
1,train,2.84041,2.84041,0.03995,8.5204,10.5482,-1.1940
1,val,1.39366,1.39366,0.00208,6.0181,7.3887,-0.5037
2,train,1.54687,1.54687,0.02370,6.4661,7.7842,-0.1256
2,val,0.88417,0.88417,0.00101,4.7835,5.8851,0.0460
3,train,1.05940,1.05940,0.01049,5.7354,6.4420,0.1492
3,val,0.74572,0.74572,0.00041,4.3318,5.4048,0.1954
4,train,0.91290,0.91290,0.04591,4.9187,5.9800,0.3538
4,val,0.57751,0.57751,0.00042,3.5998,4.7563,0.3769
5,train,0.59203,0.59203,0.00942,3.7880,4.8157,0.5452
5,val,0.53284,0.53284,0.00034,3.6669,4.5686,0.4251
6,train,0.71602,0.71602,0.01667,4.0683,5.2960,0.4293
6,val,0.58057,0.58057,0.00081,3.7261,4.7689,0.3736
7,train,0.81741,0.81741,0.02181,4.5674,5.6586,0.4630
7,val,0.56383,0.56383,0.00088,3.8858,4.6996,0.3916
8,train,0.48728,0.48728,0.00841,3.1681,4.3690,0.6459
8,val,0.53564,0.53564,0.00153,3.6647,4.5807,0.4220
9,train,0.60507,0.60507,0.02971,3.7592,4.8685,0.5370
9,val,0.51345,0.51345,0.00069,3.7080,4.4847,0.4460
10,train,0.67976,0.67976,0.00422,4.1085,5.1602,0.5396
10,val,0.45092,0.45092,0.00072,3.6544,4.2028,0.5135
11,train,0.30731,0.30731,0.02706,2.5851,3.4696,0.7680
11,val,0.36405,0.36405,0.00117,3.3450,3.7763,0.6072
12,train,0.37334,0.37334,0.01407,3.0569,3.8242,0.6838
12,val,0.48483,0.48483,0.00054,3.4408,4.3580,0.4769
13,train,0.28286,0.28286,0.02329,2.6329,3.3287,0.8126
13,val,0.35144,0.35144,0.00073,3.1810,3.7103,0.6208
14,train,0.35477,0.35477,0.04370,2.9380,3.7279,0.7170
14,val,0.28965,0.28965,0.00090,2.9151,3.3684,0.6875
15,train,0.26093,0.26093,0.04374,2.3704,3.1970,0.8062
15,val,0.35023,0.35023,0.00100,2.8922,3.7039,0.6221
16,train,0.25043,0.25043,0.03545,2.4278,3.1321,0.8096
16,val,0.32764,0.32764,0.00063,2.9384,3.5825,0.6465
17,train,0.14151,0.14151,0.05475,1.8235,2.3544,0.8958
17,val,0.34101,0.34101,0.00163,3.2224,3.6549,0.6321
18,train,0.24314,0.24314,0.07627,2.4663,3.0862,0.8395
18,val,0.36363,0.36363,0.00049,2.9742,3.7742,0.6076
19,train,0.22878,0.22878,0.01546,2.2556,2.9936,0.8254
19,val,0.28157,0.28157,0.00155,3.0326,3.3211,0.6962
20,train,0.29473,0.29473,0.04640,2.4920,3.3979,0.7727
20,val,0.26313,0.26313,0.00229,2.8848,3.2105,0.7161
21,train,0.12105,0.12105,0.01662,1.7065,2.1776,0.9060
21,val,0.44194,0.44194,0.00146,3.1885,4.1607,0.5232
22,train,0.21741,0.21741,0.01999,2.2470,2.9183,0.8553
22,val,0.52914,0.52914,0.00226,3.4794,4.5528,0.4291
23,train,0.25580,0.25580,0.04772,2.3212,3.1655,0.8133
23,val,0.35205,0.35205,0.00337,3.2974,3.7136,0.6201
24,train,0.18129,0.18129,0.03111,2.0903,2.6649,0.8613
24,val,0.27793,0.27793,0.00249,2.8562,3.2996,0.7001
25,train,0.15743,0.15743,0.06003,1.9280,2.4833,0.8930
25,val,0.41266,0.41266,0.00140,3.0072,4.0205,0.5547
26,train,0.14360,0.14360,0.02499,1.8929,2.3717,0.8920
26,val,0.26529,0.26529,0.00388,2.7167,3.2236,0.7138
27,train,0.17832,0.17832,0.02071,1.9610,2.6430,0.8727
27,val,0.25850,0.25850,0.00246,2.8194,3.1821,0.7211
28,train,0.11983,0.11983,0.04986,1.6975,2.1666,0.9116
28,val,0.22307,0.22307,0.00151,2.7807,2.9560,0.7593
29,train,0.11101,0.11101,0.03475,1.5715,2.0853,0.9293
29,val,0.28959,0.28959,0.00066,2.7893,3.3681,0.6875
30,train,0.08205,0.08205,0.00734,1.3461,1.7928,0.9327
30,val,0.29156,0.29156,0.00195,2.9458,3.3795,0.6854
31,train,0.17161,0.17161,0.02927,1.8842,2.5927,0.8439
31,val,0.36118,0.36118,0.00226,2.9122,3.7614,0.6103
32,train,0.13962,0.13962,0.06174,1.8688,2.3386,0.8939
32,val,0.27895,0.27895,0.00247,3.0634,3.3056,0.6990
33,train,0.12848,0.12848,0.03964,1.7621,2.2434,0.9206
33,val,0.35161,0.35161,0.00112,3.3652,3.7113,0.6206
34,train,0.13571,0.13571,0.04530,1.8233,2.3057,0.8871
34,val,0.34650,0.34650,0.00241,3.3184,3.6842,0.6261
35,train,0.08291,0.08291,0.06412,1.4952,1.8022,0.9444
35,val,0.28503,0.28503,0.00365,2.9595,3.3415,0.6925
36,train,0.11056,0.11056,0.04038,1.6901,2.0811,0.9258
36,val,0.51933,0.51933,0.00344,3.0965,4.5104,0.4396
37,train,0.10652,0.10652,0.06858,1.5807,2.0427,0.9283
37,val,0.28766,0.28766,0.00406,2.8742,3.3568,0.6896
38,train,0.12276,0.12276,0.02258,1.7479,2.1929,0.9024
38,val,0.45434,0.45434,0.00155,3.3871,4.2187,0.5098
39,train,0.18257,0.18257,0.04893,1.9698,2.6743,0.8602
39,val,0.30636,0.30636,0.00182,3.1148,3.4642,0.6694
40,train,0.08702,0.08702,0.02285,1.4188,1.8463,0.9174
40,val,0.33125,0.33125,0.00150,3.2517,3.6022,0.6426
41,train,0.07544,0.07544,0.01691,1.1561,1.7191,0.9439
41,val,0.60554,0.60554,0.00175,3.9106,4.8703,0.3466
42,train,0.10753,0.10753,0.03362,1.5608,2.0524,0.9175
42,val,0.26607,0.26607,0.00481,2.8015,3.2284,0.7129
43,train,0.06786,0.06786,0.02662,1.1472,1.6304,0.9528
43,val,0.38502,0.38502,0.00415,3.0136,3.8836,0.5846
44,train,0.09912,0.09912,0.06905,1.4816,1.9704,0.9397
44,val,0.22478,0.22478,0.00519,2.5524,2.9674,0.7575
45,train,0.07468,0.07468,0.09200,1.4096,1.7104,0.9509
45,val,0.36195,0.36195,0.00361,2.9662,3.7654,0.6095
46,train,0.07971,0.07971,0.06561,1.4003,1.7670,0.9392
46,val,0.25663,0.25663,0.00494,2.8472,3.1706,0.7231
47,train,0.07733,0.07733,0.02052,1.3038,1.7405,0.9469
47,val,0.54839,0.54839,0.00143,3.6626,4.6348,0.4083
48,train,0.07129,0.07129,0.05594,1.3802,1.6711,0.9443
48,val,0.27589,0.27589,0.00354,2.8871,3.2874,0.7023
49,train,0.10703,0.10703,0.10528,1.3954,2.0476,0.9240
49,val,0.22710,0.22710,0.00437,2.5770,2.9826,0.7550
50,train,0.05789,0.05789,0.04349,1.1188,1.5059,0.9623
50,val,0.38399,0.38399,0.00200,3.0575,3.8784,0.5857
51,train,0.05483,0.05483,0.02465,1.1643,1.4656,0.9656
51,val,0.38944,0.38944,0.00055,3.3665,3.9058,0.5798
52,train,0.05709,0.05709,0.00903,1.1831,1.4954,0.9605
52,val,0.50054,0.50054,0.00023,3.4562,4.4280,0.4599
53,train,0.06171,0.06171,0.05201,1.2500,1.5548,0.9632
53,val,0.38937,0.38937,0.00066,3.2897,3.9054,0.5799
54,train,0.04889,0.04889,0.03955,1.0666,1.3839,0.9676
54,val,0.38947,0.38947,0.00075,3.2069,3.9059,0.5798
55,train,0.09023,0.09023,0.04680,1.4430,1.8800,0.9401
55,val,0.25039,0.25039,0.00217,2.6503,3.1318,0.7298
56,train,0.05749,0.05749,0.02874,1.1474,1.5007,0.9616
56,val,0.21347,0.21347,0.00251,2.5378,2.8917,0.7697
57,train,0.06628,0.06628,0.02501,1.1371,1.6113,0.9548
57,val,0.31472,0.31472,0.00103,2.8861,3.5112,0.6604
58,train,0.06318,0.06318,0.01359,1.1944,1.5732,0.9459
58,val,0.34318,0.34318,0.00046,3.0006,3.6665,0.6297
59,train,0.06166,0.06166,0.03669,1.1479,1.5541,0.9567
59,val,0.37555,0.37555,0.00025,3.1871,3.8355,0.5948
60,train,0.03197,0.03197,0.01622,0.8357,1.1190,0.9760
60,val,0.45517,0.45517,0.00017,3.4062,4.2226,0.5089
61,train,0.07142,0.07142,0.01753,1.1953,1.6726,0.9332
61,val,0.35830,0.35830,0.00026,3.1825,3.7464,0.6134
62,train,0.03028,0.03028,0.01980,0.7739,1.0891,0.9779
62,val,0.31451,0.31451,0.00062,2.9699,3.5100,0.6606
63,train,0.06067,0.06067,0.04350,1.1734,1.5416,0.9607
63,val,0.24657,0.24657,0.00180,2.8175,3.1079,0.7339
64,train,0.07990,0.07990,0.06416,1.4921,1.7691,0.9321
64,val,0.21686,0.21686,0.00245,2.6214,2.9146,0.7660
65,train,0.06260,0.06260,0.05486,1.2197,1.5660,0.9571
65,val,0.26252,0.26252,0.00239,2.6168,3.2068,0.7167
66,train,0.07246,0.07246,0.04105,1.2135,1.6848,0.9507
66,val,0.18185,0.18185,0.00353,2.4148,2.6690,0.8038
67,train,0.07792,0.07792,0.04161,1.3031,1.7471,0.9328
67,val,0.21021,0.21021,0.00340,2.3322,2.8696,0.7732
68,train,0.05676,0.05676,0.07411,1.1458,1.4911,0.9574
68,val,0.16327,0.16327,0.00402,2.3533,2.5289,0.8238
69,train,0.03558,0.03558,0.01897,0.9174,1.1805,0.9709
69,val,0.25261,0.25261,0.00261,2.6925,3.1457,0.7274
70,train,0.03610,0.03610,0.01377,0.8910,1.1891,0.9735
70,val,0.20705,0.20705,0.00271,2.6517,2.8479,0.7766
71,train,0.02475,0.02475,0.02455,0.7662,0.9846,0.9814
71,val,0.23818,0.23818,0.00240,2.6884,3.0545,0.7430
72,train,0.03406,0.03406,0.02131,0.8771,1.1550,0.9734
72,val,0.25298,0.25298,0.00194,2.6510,3.1480,0.7270
73,train,0.02759,0.02759,0.03408,0.8210,1.0397,0.9793
73,val,0.17864,0.17864,0.00238,2.4975,2.6453,0.8073
74,train,0.03728,0.03728,0.01680,0.9066,1.2084,0.9737
74,val,0.30845,0.30845,0.00117,2.7689,3.4760,0.6672
75,train,0.04113,0.04113,0.00787,0.8573,1.2694,0.9643
75,val,0.23108,0.23108,0.00131,2.8220,3.0087,0.7507
76,train,0.05503,0.05503,0.04738,1.1265,1.4682,0.9588
76,val,0.29191,0.29191,0.00063,3.0072,3.3815,0.6850
77,train,0.05114,0.05114,0.02664,1.1361,1.4154,0.9634
77,val,0.24526,0.24526,0.00044,2.9165,3.0996,0.7354
78,train,0.03469,0.03469,0.05145,0.9064,1.1658,0.9746
78,val,0.24543,0.24543,0.00055,2.8202,3.1007,0.7352
79,train,0.05107,0.05107,0.02114,0.9682,1.4144,0.9658
79,val,0.27876,0.27876,0.00069,2.8037,3.3045,0.6992
80,train,0.03570,0.03570,0.04485,0.9289,1.1826,0.9777
80,val,0.20555,0.20555,0.00081,2.6010,2.8376,0.7782
81,train,0.04059,0.04059,0.01575,0.9973,1.2610,0.9652
81,val,0.26112,0.26112,0.00066,2.7565,3.1982,0.7183
82,train,0.04700,0.04700,0.01012,1.0543,1.3568,0.9632
82,val,0.17435,0.17435,0.00150,2.4472,2.6134,0.8119
83,train,0.03835,0.03835,0.01770,0.9609,1.2257,0.9725
83,val,0.23670,0.23670,0.00092,2.6195,3.0450,0.7446
84,train,0.03822,0.03822,0.03161,0.9387,1.2236,0.9679
84,val,0.19704,0.19704,0.00152,2.6145,2.7782,0.7874
85,train,0.02706,0.02706,0.06047,0.7767,1.0297,0.9796
85,val,0.23112,0.23112,0.00184,2.6736,3.0089,0.7506
86,train,0.03601,0.03601,0.04080,0.9064,1.1877,0.9784
86,val,0.21035,0.21035,0.00253,2.6170,2.8705,0.7730
87,train,0.04103,0.04103,0.04169,1.0039,1.2678,0.9724
87,val,0.14762,0.14762,0.00344,2.1931,2.4047,0.8407
88,train,0.02168,0.02168,0.04644,0.7373,0.9215,0.9836
88,val,0.14188,0.14188,0.00369,2.0678,2.3575,0.8469
89,train,0.02992,0.02992,0.00227,0.8985,1.0826,0.9726
89,val,0.12350,0.12350,0.00398,1.9430,2.1995,0.8667
90,train,0.03717,0.03717,0.02091,0.9081,1.2066,0.9742
90,val,0.17224,0.17224,0.00335,2.2946,2.5975,0.8142
91,train,0.02735,0.02735,0.01336,0.7734,1.0351,0.9831
91,val,0.19018,0.19018,0.00296,2.5181,2.7294,0.7948
92,train,0.02515,0.02515,0.04808,0.7178,0.9926,0.9825
92,val,0.23772,0.23772,0.00251,2.6768,3.0516,0.7435
93,train,0.02896,0.02896,0.02509,0.8178,1.0651,0.9817
93,val,0.18077,0.18077,0.00286,2.4054,2.6611,0.8049
94,train,0.03619,0.03619,0.03772,0.9562,1.1907,0.9732
94,val,0.17552,0.17552,0.00317,2.2562,2.6221,0.8106
95,train,0.04107,0.04107,0.04247,0.8956,1.2684,0.9690
95,val,0.14514,0.14514,0.00324,2.2143,2.3844,0.8434
96,train,0.03355,0.03355,0.01174,0.8756,1.1463,0.9726
96,val,0.19150,0.19150,0.00220,2.3776,2.7389,0.7934
97,train,0.04719,0.04719,0.06892,0.9912,1.3596,0.9689
97,val,0.19767,0.19767,0.00209,2.3594,2.7827,0.7867
98,train,0.03539,0.03539,0.03781,0.9458,1.1774,0.9736
98,val,0.19736,0.19736,0.00215,2.4102,2.7805,0.7871
99,train,0.03387,0.03387,0.04933,0.8866,1.1519,0.9731
99,val,0.17519,0.17519,0.00217,2.4446,2.6197,0.8110
100,train,0.04177,0.04177,0.05801,0.9528,1.2792,0.9708
100,val,0.25541,0.25541,0.00142,2.6250,3.1630,0.7244
101,train,0.05542,0.05542,0.03761,1.0843,1.4734,0.9586
101,val,0.18309,0.18309,0.00224,2.3779,2.6781,0.8024
102,train,0.03773,0.03773,0.08199,0.8904,1.2157,0.9729
102,val,0.29101,0.29101,0.00166,2.6000,3.3763,0.6860
103,train,0.03851,0.03851,0.06266,0.8887,1.2282,0.9741
103,val,0.19107,0.19107,0.00206,2.5053,2.7358,0.7938
104,train,0.03586,0.03586,0.07132,0.9221,1.1851,0.9753
104,val,0.20486,0.20486,0.00243,2.4709,2.8328,0.7790
105,train,0.01382,0.01382,0.03023,0.5555,0.7359,0.9904
105,val,0.16595,0.16595,0.00373,2.2274,2.5497,0.8209
106,train,0.01693,0.01693,0.02151,0.6836,0.8144,0.9879
106,val,0.16693,0.16693,0.00362,2.3165,2.5572,0.8199
107,train,0.03255,0.03255,0.04820,0.8497,1.1293,0.9737
107,val,0.21545,0.21545,0.00295,2.4659,2.9051,0.7675
108,train,0.01325,0.01325,0.03880,0.5546,0.7205,0.9906
108,val,0.25952,0.25952,0.00202,2.6844,3.1884,0.7200
109,train,0.03073,0.03073,0.03495,0.8407,1.0972,0.9792
109,val,0.30214,0.30214,0.00144,2.8213,3.4403,0.6740
110,train,0.02176,0.02176,0.04389,0.7462,0.9232,0.9818
110,val,0.26114,0.26114,0.00166,2.6490,3.1984,0.7182
111,train,0.02441,0.02441,0.05392,0.7158,0.9779,0.9830
111,val,0.22862,0.22862,0.00233,2.5175,2.9926,0.7533
112,train,0.02710,0.02710,0.00070,0.7792,1.0302,0.9798
112,val,0.25403,0.25403,0.00150,2.6859,3.1545,0.7259
113,train,0.01779,0.01779,0.03020,0.5935,0.8348,0.9872
113,val,0.27245,0.27245,0.00122,2.7617,3.2669,0.7060
114,train,0.02898,0.02898,0.02329,0.8267,1.0655,0.9773
114,val,0.28464,0.28464,0.00108,2.8399,3.3392,0.6929
115,train,0.01556,0.01556,0.06175,0.6246,0.7808,0.9898
115,val,0.24356,0.24356,0.00141,2.7623,3.0888,0.7372
116,train,0.01885,0.01885,0.03263,0.6494,0.8593,0.9854
116,val,0.29217,0.29217,0.00129,2.8221,3.3830,0.6848
117,train,0.02257,0.02257,0.02253,0.6304,0.9402,0.9850
117,val,0.21408,0.21408,0.00203,2.5259,2.8959,0.7690
118,train,0.03617,0.03617,0.04593,0.8757,1.1903,0.9718
118,val,0.18810,0.18810,0.00270,2.4026,2.7145,0.7970
119,train,0.02381,0.02381,0.03694,0.7750,0.9658,0.9832
119,val,0.18462,0.18462,0.00248,2.4333,2.6893,0.8008
120,train,0.02243,0.02243,0.03695,0.7199,0.9373,0.9815
120,val,0.22268,0.22268,0.00195,2.5514,2.9535,0.7597
121,train,0.03602,0.03602,0.03125,0.9024,1.1878,0.9709
121,val,0.23715,0.23715,0.00192,2.6932,3.0479,0.7441
122,train,0.02355,0.02355,0.05537,0.6775,0.9605,0.9841
122,val,0.22420,0.22420,0.00204,2.7217,2.9635,0.7581
123,train,0.03671,0.03671,0.06446,0.8828,1.1992,0.9747
123,val,0.22997,0.22997,0.00238,2.7010,3.0014,0.7519
124,train,0.01678,0.01678,0.03819,0.6278,0.8109,0.9874
124,val,0.24951,0.24951,0.00259,2.7217,3.1263,0.7308
125,train,0.03752,0.03752,0.06874,0.8214,1.2123,0.9689
125,val,0.21486,0.21486,0.00315,2.6097,2.9011,0.7682
126,train,0.03313,0.03313,0.04283,0.8794,1.1393,0.9731
126,val,0.25946,0.25946,0.00269,2.7298,3.1881,0.7200
127,train,0.01338,0.01338,0.02669,0.6146,0.7240,0.9899
127,val,0.20716,0.20716,0.00340,2.5768,2.8487,0.7765
