epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.90152,3.90082,0.02328,9.6791,12.3614,-1.5102
1,val,2.42039,2.41879,0.05344,7.8952,9.7339,-1.5216
2,train,3.34707,3.34672,0.01153,9.7268,11.4498,-1.5826
2,val,1.59803,1.59682,0.04061,6.4259,7.9089,-0.6647
3,train,1.84928,1.84887,0.01340,6.8750,8.5103,-0.2969
3,val,1.11528,1.11465,0.02100,5.3885,6.6078,-0.1620
4,train,1.44777,1.44764,0.00410,6.2818,7.5304,-0.0678
4,val,0.89337,0.89315,0.00716,5.0326,5.9150,0.0689
5,train,1.42382,1.42380,0.00064,6.5213,7.4682,-0.0596
5,val,0.76093,0.76088,0.00166,4.6706,5.4594,0.2068
6,train,1.09164,1.09164,0.00007,5.7430,6.5393,0.1578
6,val,0.58168,0.58166,0.00063,3.9561,4.7734,0.3936
7,train,0.81800,0.81800,0.00001,4.7645,5.6607,0.4091
7,val,0.54780,0.54779,0.00032,3.5478,4.6323,0.4289
8,train,0.71138,0.71138,0.00000,4.2798,5.2789,0.5350
8,val,0.69076,0.69076,0.00016,4.1847,5.2018,0.2799
9,train,0.44987,0.44987,0.00000,3.3582,4.1979,0.7266
9,val,0.78814,0.78812,0.00069,4.4609,5.5563,0.1784
10,train,0.78591,0.78591,0.00001,4.2928,5.5485,0.2270
10,val,0.78203,0.78177,0.00861,4.2176,5.5339,0.1850
11,train,0.36835,0.36834,0.00039,3.1914,3.7985,0.7160
11,val,0.48170,0.48109,0.02032,3.7219,4.3411,0.4985
12,train,0.35372,0.35371,0.00044,3.1270,3.7223,0.6863
12,val,0.52184,0.52122,0.02065,3.7112,4.5185,0.4566
13,train,0.41120,0.41119,0.00032,3.1279,4.0134,0.7266
13,val,0.63078,0.63028,0.01692,4.1923,4.9688,0.3429
14,train,0.26583,0.26581,0.00038,2.3832,3.2268,0.8202
14,val,0.56624,0.56563,0.02029,3.8014,4.7071,0.4103
15,train,0.46841,0.46837,0.00130,3.0065,4.2833,0.6364
15,val,0.69313,0.69214,0.03328,4.0585,5.2070,0.2784
16,train,0.22470,0.22467,0.00085,2.2939,2.9666,0.8446
16,val,0.41283,0.41182,0.03362,3.5087,4.0165,0.5707
17,train,0.19328,0.19325,0.00091,2.1992,2.7514,0.8461
17,val,0.49229,0.49187,0.01407,3.6078,4.3895,0.4872
18,train,0.18403,0.18402,0.00012,1.8419,2.6849,0.8816
18,val,0.47864,0.47839,0.00830,3.8136,4.3289,0.5013
19,train,0.19470,0.19468,0.00071,2.2130,2.7615,0.8581
19,val,0.64163,0.64145,0.00601,4.0643,5.0127,0.3313
20,train,0.21702,0.21702,0.00007,2.0589,2.9157,0.8337
20,val,0.61441,0.61425,0.00527,4.0395,4.9053,0.3596
21,train,0.14017,0.14016,0.00015,1.7430,2.3432,0.8930
21,val,0.49831,0.49818,0.00411,3.5906,4.4176,0.4806
22,train,0.12800,0.12800,0.00022,1.7981,2.2392,0.8981
22,val,0.72787,0.72782,0.00168,4.1074,5.3395,0.2412
23,train,0.12450,0.12450,0.00002,1.6176,2.2084,0.9207
23,val,0.61079,0.61077,0.00070,3.9935,4.8913,0.3633
24,train,0.15252,0.15252,0.00000,1.7414,2.4443,0.8802
24,val,0.51602,0.51599,0.00108,3.6311,4.4958,0.4621
25,train,0.10238,0.10238,0.00008,1.6347,2.0026,0.9264
25,val,0.68879,0.68872,0.00235,4.1453,5.1941,0.2820
26,train,0.14453,0.14453,0.00001,1.8060,2.3794,0.8859
26,val,0.60336,0.60328,0.00262,3.7529,4.8613,0.3711
27,train,0.09751,0.09743,0.00278,1.5313,1.9536,0.9293
27,val,0.59354,0.59351,0.00095,3.7635,4.8217,0.3813
28,train,0.10177,0.10177,0.00004,1.6190,1.9966,0.9148
28,val,0.50644,0.50642,0.00093,3.5633,4.4539,0.4721
29,train,0.12264,0.12263,0.00032,1.7546,2.1917,0.8961
29,val,0.75417,0.75416,0.00059,4.4018,5.4353,0.2138
30,train,0.11932,0.11931,0.00025,1.5867,2.1619,0.8982
30,val,0.42654,0.42653,0.00033,3.5100,4.0876,0.5553
31,train,0.10063,0.10063,0.00006,1.5418,1.9854,0.9332
31,val,0.58068,0.58066,0.00060,3.8431,4.7693,0.3947
32,train,0.09749,0.09749,0.00023,1.4976,1.9542,0.9367
32,val,0.53808,0.53807,0.00018,3.8967,4.5910,0.4391
33,train,0.07388,0.07388,0.00000,1.2465,1.7012,0.9510
33,val,0.52991,0.52990,0.00010,3.7159,4.5560,0.4476
34,train,0.16593,0.16593,0.00023,1.7498,2.5495,0.9022
34,val,0.42619,0.42618,0.00016,3.5179,4.0859,0.5557
35,train,0.10917,0.10916,0.00037,1.5348,2.0678,0.9313
35,val,0.81277,0.81276,0.00033,4.5064,5.6425,0.1527
36,train,0.12026,0.12024,0.00040,1.6013,2.1703,0.9180
36,val,0.53306,0.53305,0.00021,3.8154,4.5695,0.4443
37,train,0.07668,0.07667,0.00037,1.3279,1.7330,0.9435
37,val,0.60224,0.60223,0.00014,3.9340,4.8570,0.3722
38,train,0.05145,0.05144,0.00004,1.1437,1.4196,0.9622
38,val,0.51427,0.51426,0.00020,3.6152,4.4883,0.4639
39,train,0.10569,0.10568,0.00014,1.5632,2.0347,0.9280
39,val,0.57543,0.57542,0.00032,3.8536,4.7477,0.4001
40,train,0.04989,0.04989,0.00003,1.0885,1.3980,0.9601
40,val,0.66364,0.66364,0.00025,4.1454,5.0986,0.3082
41,train,0.05741,0.05741,0.00001,1.1633,1.4997,0.9533
41,val,0.48421,0.48421,0.00009,3.8681,4.3552,0.4952
42,train,0.09135,0.09135,0.00000,1.4802,1.8917,0.9394
42,val,0.70568,0.70568,0.00009,4.2562,5.2577,0.2643
43,train,0.09762,0.09762,0.00000,1.4945,1.9555,0.9291
43,val,0.55596,0.55596,0.00008,3.9377,4.6667,0.4204
44,train,0.06161,0.06161,0.00000,1.1555,1.5535,0.9551
44,val,0.55090,0.55090,0.00006,3.8554,4.6454,0.4257
