feature_set,model,feature,importance_kind,mean_abs_importance,std_abs_importance,n_folds
aux,adaboost,extra__lpv_resistance_integral,feature_importance,0.004514155247237833,0.0014626274227700206,5
aux,adaboost,extra__rpv_length,feature_importance,0.004439538589065579,0.0035660036006926856,5
aux,adaboost,extra__smv_mean_diameter,feature_importance,0.004275404052520921,0.0026536042075050938,5
aux,adaboost,extra__mpv_max_curvature,feature_importance,0.004226694693245626,0.0022644025334987773,5
aux,adaboost,extra__lpv_max_curvature,feature_importance,0.004217479579143994,0.00047968756110827255,5
aux,adaboost,extra__diameter_weighted_tortuosity,feature_importance,0.004137564995609569,0.001422806092812497,5
aux,adaboost,aux__mpv_trunk_length_mm,feature_importance,0.00398039038307949,0.0017949829228374803,5
aux,adaboost,extra__tree_area_conservation_mean_dev,feature_importance,0.003964772516221018,0.0036811468555781658,5
aux,adaboost,extra__sv_mean_circularity,feature_importance,0.0038132381738656845,0.002984634576788292,5
aux,adaboost,extra__rpv_mean_diameter,feature_importance,0.0036246048412489824,0.002545754005986913,5
aux,adaboost,extra__sv_max_curvature,feature_importance,0.00361296338820473,0.002309503032677971,5
aux,adaboost,extra__tips_area_cv,feature_importance,0.003579948530462294,0.001325026175713205,5
aux,adaboost,extra__smv_max_curvature,feature_importance,0.003556668205609724,0.001359466190534859,5
aux,adaboost,aux__splenic_dominance_index,feature_importance,0.003401705166511269,0.0031570823387619944,5
aux,adaboost,extra__lpv_tortuosity,feature_importance,0.003350256792220949,0.0018419313212785825,5
aux,adaboost,extra__lpv_mean_curvature,feature_importance,0.003255252549653506,0.0018641023753150417,5
aux,adaboost,extra__tips_max_diameter,feature_importance,0.0032230985396498385,0.0015858899250776898,5
aux,adaboost,extra__smv_mean_area,feature_importance,0.0030742841865798376,0.00109654048518754,5
aux,adaboost,aux__angle_sv_smv,feature_importance,0.0030414290992019396,0.0014915846323980799,5
aux,adaboost,extra__smv_mpv_diameter_ratio,feature_importance,0.0029816233863453672,0.0020299338552077686,5
aux,adaboost,extra__mpv_mean_curvature,feature_importance,0.002850640197045669,0.002854747684500336,5
aux,adaboost,extra__rpv_resistance_integral,feature_importance,0.0027740290772399418,0.0021657628460362718,5
aux,adaboost,extra__sv_smv_diameter_asymmetry,feature_importance,0.0027059524017794614,0.0016581489839094328,5
aux,adaboost,extra__lgv_max_curvature,feature_importance,0.002686639858654416,0.002141416885220034,5
aux,adaboost,extra__n_collaterals_detected,feature_importance,0.002654037655833539,0.003394097074248985,5
aux,adaboost,extra__mpv_mean_circularity,feature_importance,0.002496540854416552,0.0013765541724105347,5
aux,adaboost,extra__smv_area_cv,feature_importance,0.0024523294443088007,0.0025545603410467815,5
aux,adaboost,extra__rpv_mean_circularity,feature_importance,0.0024099523543225166,0.0014990639855714425,5
aux,adaboost,extra__sv_tortuosity,feature_importance,0.002398429829810193,0.0016650822693734897,5
aux,adaboost,extra__rpv_max_diameter,feature_importance,0.002375304507198862,0.0011452468366783507,5
aux,adaboost,extra__smv_resistance_integral,feature_importance,0.0023171443623248994,0.0012182674163668942,5
aux,adaboost,extra__mpv_distal_diameter,feature_importance,0.0023016129521403143,0.0015756587231463492,5
aux,adaboost,extra__sv_area_cv,feature_importance,0.0022927184313493716,0.0015092295197211155,5
aux,adaboost,extra__sv_length,feature_importance,0.0022579409153502057,0.0010482190627510801,5
aux,adaboost,extra__mpv_proximal_diameter,feature_importance,0.0022149218206894217,0.0015346813185186364,5
aux,adaboost,extra__rpv_mean_curvature,feature_importance,0.002172045866513944,0.0009830112120753133,5
aux,adaboost,aux__angle_mpv_bifurc_total,feature_importance,0.002167546964059755,0.0008086540727861545,5
aux,adaboost,extra__smv_max_diameter,feature_importance,0.0021325875216511338,0.0017512270847393732,5
aux,adaboost,extra__sv_mean_curvature,feature_importance,0.0021294433794407,0.0010237086767538532,5
aux,adaboost,extra__smv_length,feature_importance,0.002040992541878394,0.0005377307945069425,5
aux,adaboost,extra__inflow_resistance_asymmetry,feature_importance,0.002018001382320194,0.0007454472662711788,5
aux,adaboost,aux__mpv_min_max_diameter_ratio,feature_importance,0.0018520777865398332,0.0013835320503668754,5
aux,adaboost,extra__lgv_max_diameter,feature_importance,0.001750137971878343,0.0008494347512328282,5
aux,adaboost,extra__lpv_mean_circularity,feature_importance,0.0016918247253716653,0.000864784083757141,5
aux,adaboost,aux__min_lumen_area_to_max_ratio_mpv,feature_importance,0.0016529575835598665,0.0013587793776564795,5
aux,adaboost,extra__lgv_mean_circularity,feature_importance,0.001632586626113049,0.0003551491716595518,5
aux,adaboost,extra__lgv_tortuosity,feature_importance,0.001551067025305572,0.0021208605200881752,5
aux,adaboost,extra__confluence_murray3_deviation,feature_importance,0.001502132846050866,0.0004787825876703728,5
aux,adaboost,aux__area_conservation_bifurc_deviation__present,feature_importance,0.0009573469716453703,0.0011118672401973354,5
aux,adaboost,extra__lgv_mean_diameter,feature_importance,0.0008150252812214638,0.000434906698698103,5
aux,adaboost,extra__pgv_mean_curvature,feature_importance,0.0008145161646266802,0.0011867448512919182,5
aux,adaboost,extra__lgv_area_cv,feature_importance,0.0008070088757339622,0.0011708377992790309,5
aux,adaboost,extra__lgv_mpv_diameter_ratio,feature_importance,0.0007603064304503596,0.0013742959701480036,5
aux,adaboost,extra__lgv_mean_curvature,feature_importance,0.0005170238055341557,0.0004602285615709564,5
aux,adaboost,extra__lgv_mean_area,feature_importance,0.0004027436451139569,0.00028312450737600964,5
aux,adaboost,extra__pgv_max_diameter,feature_importance,0.00036119278612331806,0.0004312305177191723,5
aux,adaboost,extra__pgv_mean_circularity,feature_importance,0.0003599938729570917,0.0004404032574690573,5
aux,adaboost,aux__has_pgv,feature_importance,0.00034322894536806405,0.0003142150243513944,5
aux,adaboost,extra__pgv_mpv_diameter_ratio,feature_importance,0.0002884251872541415,0.00035324732787820094,5
aux,adaboost,extra__pgv_tortuosity,feature_importance,0.00020023795012299628,0.00027408732311298294,5
aux,adaboost,extra__pgv_area_cv,feature_importance,0.000168242148870041,0.00027947741338696,5
aux,adaboost,extra__lgv_length,feature_importance,0.00015552697606407536,0.0001631320539309308,5
aux,adaboost,extra__pgv_mean_area,feature_importance,0.00010789975652800649,9.302084116679941e-05,5
aux,adaboost,aux__angle_lpv_rpv__present,feature_importance,0.00010518130080073611,0.00013501097140123736,5
aux,adaboost,extra__pgv_mean_diameter,feature_importance,0.00010209209502260372,0.0001354411610385844,5
aux,adaboost,extra__pgv_max_curvature,feature_importance,7.096208287259026e-05,0.00012617446165806266,5
aux,adaboost,extra__pgv_length,feature_importance,5.907530325569175e-05,6.565754330001244e-05,5
aux,adaboost,aux__splenic_dominance_index__present,feature_importance,4.7803002313400024e-05,9.560600462680005e-05,5
aux,adaboost,aux__angle_mpv_rpv__present,feature_importance,4.7309266431254e-05,9.4618532862508e-05,5
aux,adaboost,aux__mpv_bifurc_planarity_deg__present,feature_importance,4.594641418647168e-05,9.189282837294335e-05,5
aux,adaboost,aux__angle_mpv_bifurc_total__present,feature_importance,4.399323264489968e-05,8.332152578744029e-05,5
aux,adaboost,aux__pvt_severity_grade,feature_importance,2.9334299978525534e-05,5.866859995705106e-05,5
aux,adaboost,aux__mpv_min_max_diameter_ratio__present,feature_importance,9.601857447044502e-06,1.9203714894089004e-05,5
aux,adaboost,aux__spleen_liver_ratio__present,feature_importance,2.693522151998401e-06,5.387044303996802e-06,5
aux,adaboost,aux__mpv_taper_coefficient__present,feature_importance,2.166528219830086e-06,4.333056439660172e-06,5
aux,adaboost,aux__angle_mpv_lpv__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__angle_sv_smv__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__branchpoint_density_per_cm__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__cavernous_transformation_flag,feature_importance,0.0,0.0,5
aux,adaboost,aux__cavernous_transformation_flag__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__collateral_burden_score__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__has_lgv__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__has_pgv__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__has_tips__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__liver_volume_ml__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__max_collateral_diameter_mm__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__max_tortuosity_index__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__mean_tortuosity_index__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__min_lumen_area_to_max_ratio_mpv__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__mpv_taper_coefficient,feature_importance,0.0,0.0,5
aux,adaboost,aux__mpv_trunk_length_mm__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__pvt_severity_grade__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__spleen_volume_ml__present,feature_importance,0.0,0.0,5
aux,adaboost,aux__sv_max_to_mpv_max_diam_ratio__present,feature_importance,0.0,0.0,5
aux,elasticnet_cv,aux__tips_stent_diameter_mm__present,coefficient,0.4547751915357147,0.06099808273562341,5
aux,elasticnet_cv,aux__angle_mpv_tips__present,coefficient,0.45477366225075827,0.060927500564010174,5
aux,elasticnet_cv,aux__tips_stent_length_mm__present,coefficient,0.45476482010508096,0.06100485983036353,5
aux,elasticnet_cv,aux__has_tips,coefficient,0.4547425599751791,0.060979505120007806,5
aux,elasticnet_cv,aux__has_lgv,coefficient,0.4456163177896735,0.11711877520954078,5
aux,elasticnet_cv,extra__lpv_max_curvature,coefficient,0.3692841310419862,0.17549565719960458,5
aux,elasticnet_cv,aux__max_collateral_diameter_mm,coefficient,0.3487531177073829,0.1357703102482385,5
aux,elasticnet_cv,aux__spleen_volume_ml,coefficient,0.34283852270490334,0.07729584911619149,5
aux,elasticnet_cv,extra__sv_mean_area,coefficient,0.33591810148653806,0.16462506171981375,5
aux,elasticnet_cv,extra__n_collaterals_detected,coefficient,0.33341634180506713,0.0650816763002498,5
aux,elasticnet_cv,extra__mpv_tortuosity,coefficient,0.3328802967460813,0.1268102028228455,5
aux,elasticnet_cv,extra__sv_mean_diameter,coefficient,0.32880917510962815,0.1458533232241061,5
aux,elasticnet_cv,aux__collateral_burden_score,coefficient,0.2819296232889525,0.0756139250371145,5
aux,elasticnet_cv,extra__sv_mpv_diameter_ratio,coefficient,0.2710471960133519,0.04642757228961647,5
aux,elasticnet_cv,extra__sv_resistance_integral,coefficient,0.2657380950556005,0.10297489259613292,5
aux,elasticnet_cv,extra__confluence_area_ratio,coefficient,0.24519073210581882,0.042161576951392006,5
aux,elasticnet_cv,extra__smv_tortuosity,coefficient,0.2323710187599569,0.15263010167429553,5
aux,elasticnet_cv,extra__lpv_length,coefficient,0.22936241710943722,0.14373996143157258,5
aux,elasticnet_cv,extra__confluence_murray3_ratio,coefficient,0.21063774122765516,0.034447546015178396,5
aux,elasticnet_cv,extra__rpv_mean_curvature,coefficient,0.2098331655467806,0.11245858856905429,5
aux,elasticnet_cv,extra__rpv_tortuosity,coefficient,0.19970871694268588,0.141158508830878,5
aux,elasticnet_cv,aux__spleen_liver_ratio,coefficient,0.19899203254303702,0.12975540328549307,5
aux,elasticnet_cv,aux__area_conservation_bifurc_deviation__present,coefficient,0.18892344682733608,0.11202793403135877,5
aux,elasticnet_cv,aux__angle_mpv_tips,coefficient,0.17611464571793412,0.12718959413730158,5
aux,elasticnet_cv,extra__sv_max_diameter,coefficient,0.17525064255114997,0.06450256323883881,5
aux,elasticnet_cv,extra__lpv_max_diameter,coefficient,0.17040280381381803,0.08668579398553906,5
aux,elasticnet_cv,extra__rpv_max_curvature,coefficient,0.16181835217478907,0.09206523460451152,5
aux,elasticnet_cv,extra__lgv_max_diameter,coefficient,0.14683558124164214,0.10758275677879646,5
aux,elasticnet_cv,aux__tips_stent_length_mm,coefficient,0.14468141439581833,0.091168700990451,5
aux,elasticnet_cv,extra__tips_length,coefficient,0.1446756063297563,0.09117043858006176,5
aux,elasticnet_cv,extra__lpv_mean_diameter,coefficient,0.14419696456368294,0.09519304452807577,5
aux,elasticnet_cv,extra__lgv_max_curvature,coefficient,0.1440354476400328,0.2011510283520862,5
aux,elasticnet_cv,aux__max_tortuosity_index,coefficient,0.14358555624683453,0.19798130369236405,5
aux,elasticnet_cv,aux__liver_volume_ml,coefficient,0.142606560787782,0.1084240360770211,5
aux,elasticnet_cv,extra__pgv_tortuosity,coefficient,0.12851053857693334,0.12988419443180527,5
aux,elasticnet_cv,extra__sv_max_curvature,coefficient,0.12695612789575622,0.10194512200009785,5
aux,elasticnet_cv,extra__lgv_mpv_diameter_ratio,coefficient,0.1268583194994956,0.1184868775682041,5
