epoch,phase,total,main,shunt,mae,rmse,r2
1,train,4.38014,4.37984,0.05833,10.8396,13.0984,-2.2910
1,val,1.96536,1.96517,0.03829,7.4177,8.7738,-1.1204
2,train,1.74142,1.74137,0.01071,6.8727,8.2591,-0.4957
2,val,0.99933,0.99916,0.03387,5.1168,6.2561,-0.0781
3,train,1.50299,1.50263,0.07051,6.6014,7.6721,-0.0855
3,val,0.92683,0.92673,0.01936,4.9164,6.0251,0.0001
4,train,1.25533,1.25510,0.04756,6.1795,7.0118,0.1458
4,val,0.83155,0.83152,0.00465,4.5569,5.7072,0.1028
5,train,1.24120,1.24115,0.00848,6.0113,6.9727,0.0574
5,val,0.74279,0.74279,0.00112,4.2842,5.3941,0.1985
6,train,1.04646,1.04642,0.00955,5.1974,6.4024,0.2564
6,val,0.64037,0.64037,0.00014,4.0695,5.0085,0.3090
7,train,0.70247,0.70247,0.00038,4.3845,5.2457,0.3751
7,val,0.79151,0.79151,0.00002,4.4851,5.5682,0.1460
8,train,0.79215,0.79215,0.00044,4.5865,5.5705,0.4067
8,val,0.50114,0.50114,0.00001,3.7360,4.4306,0.4593
9,train,0.42590,0.42590,0.00000,3.3357,4.0845,0.6623
9,val,0.49943,0.49943,0.00000,3.7180,4.4231,0.4611
10,train,0.28367,0.28367,0.00000,2.4242,3.3335,0.7612
10,val,0.65143,0.65143,0.00000,4.1789,5.0515,0.2971
11,train,0.55207,0.55207,0.00012,3.4040,4.6503,0.6076
11,val,0.52438,0.52438,0.00001,3.9183,4.5322,0.4342
12,train,0.38374,0.38373,0.00091,2.9447,3.8771,0.6835
12,val,0.39921,0.39921,0.00004,3.5208,3.9545,0.5693
13,train,0.42178,0.42178,0.00076,3.1228,4.0647,0.6772
13,val,0.37064,0.37064,0.00001,3.4456,3.8103,0.6001
14,train,0.29005,0.29005,0.00000,2.7583,3.3707,0.7853
14,val,0.54044,0.54044,0.00000,3.8978,4.6011,0.4169
15,train,0.55229,0.55229,0.00001,3.7227,4.6513,0.5667
15,val,0.40305,0.40305,0.00000,3.4086,3.9735,0.5651
16,train,0.37363,0.37363,0.00004,2.8248,3.8257,0.7416
16,val,0.39198,0.39198,0.00000,3.3956,3.9185,0.5771
17,train,0.29165,0.29165,0.00003,2.7467,3.3800,0.7762
17,val,0.43437,0.43437,0.00000,3.3656,4.1249,0.5313
18,train,0.21798,0.21798,0.00037,2.4369,2.9221,0.8455
18,val,0.36443,0.36443,0.00000,3.1961,3.7783,0.6068
19,train,0.21366,0.21366,0.00017,2.1909,2.8930,0.8445
19,val,0.51176,0.51176,0.00000,3.8245,4.4774,0.4478
20,train,0.25239,0.25239,0.00018,2.3740,3.1443,0.8171
20,val,0.46629,0.46629,0.00000,3.4411,4.2738,0.4969
21,train,0.36902,0.36902,0.00010,3.0095,3.8020,0.6826
21,val,0.33612,0.33612,0.00000,3.2694,3.6286,0.6373
22,train,0.25236,0.25236,0.00000,2.5030,3.1441,0.8059
22,val,0.34594,0.34594,0.00000,3.2942,3.6812,0.6267
23,train,0.21950,0.21950,0.00000,2.3499,2.9323,0.8353
23,val,0.59037,0.59037,0.00000,3.6941,4.8090,0.3630
24,train,0.20309,0.20309,0.00010,2.0582,2.8205,0.8697
24,val,0.51383,0.51383,0.00000,4.0041,4.4864,0.4456
25,train,0.13617,0.13617,0.00010,1.8978,2.3096,0.9003
25,val,0.57412,0.57412,0.00000,3.7575,4.7423,0.3805
26,train,0.20139,0.20139,0.00009,2.0048,2.8087,0.8383
26,val,0.46332,0.46332,0.00000,3.7173,4.2602,0.5001
27,train,0.12553,0.12553,0.00002,1.7361,2.2175,0.9065
27,val,0.49744,0.49744,0.00000,3.5608,4.4143,0.4633
28,train,0.18114,0.18114,0.00000,1.9346,2.6638,0.8420
28,val,0.51512,0.51512,0.00000,3.8125,4.4920,0.4442
29,train,0.13433,0.13433,0.00000,1.7720,2.2939,0.8769
29,val,0.51819,0.51819,0.00000,3.8121,4.5054,0.4409
30,train,0.13844,0.13844,0.00002,1.9306,2.3287,0.8865
30,val,0.56630,0.56630,0.00000,3.9218,4.7099,0.3890
31,train,0.08958,0.08958,0.00004,1.4358,1.8733,0.9360
31,val,0.56702,0.56702,0.00000,3.9160,4.7129,0.3882
32,train,0.13636,0.13636,0.00001,1.7086,2.3112,0.8953
32,val,0.59584,0.59584,0.00000,4.0469,4.8312,0.3571
33,train,0.10051,0.10051,0.00000,1.4335,1.9842,0.9170
33,val,0.55733,0.55733,0.00000,3.9756,4.6725,0.3986
34,train,0.13603,0.13603,0.00011,1.6195,2.3084,0.9093
34,val,0.51453,0.51453,0.00000,3.6974,4.4895,0.4448
35,train,0.12430,0.12430,0.00020,1.6939,2.2066,0.9090
35,val,0.52756,0.52756,0.00000,3.6936,4.5460,0.4308
36,train,0.10444,0.10444,0.00005,1.4405,2.0226,0.9276
36,val,0.48732,0.48732,0.00000,3.7982,4.3691,0.4742
