epoch,phase,total,main,shunt,mae,rmse,r2
1,train,3.42527,3.42526,0.00056,9.4919,11.5834,-1.5706
1,val,2.33562,2.33536,0.05312,7.7430,9.5646,-1.4346
2,train,2.06964,2.06952,0.02342,6.7939,9.0038,-0.6701
2,val,1.60048,1.60027,0.04233,6.4338,7.9175,-0.6683
3,train,1.96046,1.96039,0.01207,7.1845,8.7632,-0.4748
3,val,1.11968,1.11955,0.02746,5.3988,6.6223,-0.1671
4,train,1.51416,1.51410,0.01097,6.6975,7.7013,-0.0466
4,val,0.91917,0.91910,0.01446,5.0841,6.0003,0.0418
5,train,1.22713,1.22711,0.00259,5.8502,6.9332,0.0682
5,val,0.80787,0.80785,0.00339,4.7188,5.6254,0.1578
6,train,1.37726,1.37726,0.00029,6.1759,7.3451,0.1433
6,val,0.83077,0.83077,0.00042,4.7363,5.7047,0.1339
7,train,1.11353,1.11353,0.00003,5.1721,6.6045,0.2959
7,val,0.58518,0.58518,0.00014,3.9865,4.7878,0.3899
8,train,0.59079,0.59079,0.00000,3.7701,4.8107,0.5297
8,val,0.57658,0.57658,0.00010,3.9462,4.7525,0.3989
9,train,0.50076,0.50076,0.00000,3.4311,4.4290,0.6186
9,val,0.59550,0.59549,0.00021,3.8864,4.8298,0.3792
10,train,0.75110,0.75110,0.00000,4.0990,5.4242,0.3715
10,val,0.71839,0.71837,0.00424,3.9801,5.3047,0.2511
11,train,0.52052,0.52052,0.00001,3.6302,4.5155,0.5816
11,val,0.70191,0.70184,0.01276,4.3658,5.2434,0.2683
12,train,0.46418,0.46416,0.00342,3.4171,4.2641,0.6365
12,val,0.65468,0.65457,0.02319,4.2932,5.0637,0.3176
13,train,0.49007,0.49002,0.00882,3.4441,4.3812,0.6698
13,val,0.72218,0.72199,0.03794,4.3205,5.3181,0.2473
14,train,0.40106,0.40106,0.00035,3.0864,3.9636,0.6784
14,val,0.86878,0.86858,0.03949,4.7463,5.8330,0.0945
15,train,0.32499,0.32496,0.00692,2.8142,3.5678,0.7712
15,val,0.66905,0.66875,0.06019,4.1945,5.1182,0.3028
16,train,0.16518,0.16501,0.03343,2.0037,2.5424,0.8928
16,val,0.66734,0.66701,0.06468,4.1598,5.1116,0.3046
17,train,0.20012,0.20000,0.02501,2.2890,2.7990,0.8500
17,val,0.69997,0.69958,0.07743,4.2199,5.2349,0.2707
18,train,0.18513,0.18502,0.02079,2.0689,2.6922,0.8639
18,val,0.78096,0.78047,0.09763,4.3736,5.5293,0.1863
19,train,0.17066,0.17049,0.03417,1.8291,2.5843,0.8717
19,val,0.60390,0.60340,0.09983,3.8666,4.8617,0.3709
20,train,0.13142,0.13130,0.02424,1.7131,2.2679,0.9050
20,val,0.59381,0.59336,0.08980,3.8876,4.8211,0.3814
21,train,0.11125,0.11108,0.03276,1.5832,2.0860,0.9236
21,val,0.72184,0.72146,0.07571,4.4195,5.3161,0.2479
22,train,0.09019,0.09016,0.00533,1.4033,1.8793,0.9280
22,val,0.50010,0.49977,0.06576,3.5996,4.4246,0.4790
23,train,0.18363,0.18356,0.01463,2.1360,2.6815,0.8753
23,val,0.65484,0.65451,0.06612,4.1120,5.0634,0.3177
24,train,0.14100,0.14099,0.00236,1.8032,2.3501,0.8832
24,val,0.51947,0.51915,0.06496,3.7201,4.5096,0.4588
25,train,0.08778,0.08774,0.00921,1.4411,1.8539,0.9383
25,val,0.62226,0.62192,0.06768,4.0124,4.9358,0.3516
26,train,0.09523,0.09507,0.03173,1.4575,1.9298,0.9216
26,val,0.60050,0.60018,0.06378,3.9711,4.8488,0.3743
27,train,0.14067,0.14065,0.00417,1.5986,2.3473,0.8803
27,val,0.48701,0.48671,0.06032,3.6008,4.3664,0.4926
28,train,0.11391,0.11389,0.00371,1.7641,2.1122,0.9123
28,val,0.61798,0.61767,0.06331,3.8287,4.9189,0.3561
29,train,0.10791,0.10789,0.00312,1.5503,2.0558,0.9144
29,val,0.59412,0.59376,0.07141,3.8639,4.8227,0.3810
30,train,0.12367,0.12366,0.00186,1.4428,2.2009,0.9140
30,val,0.51242,0.51202,0.07980,3.6280,4.4785,0.4662
31,train,0.05275,0.05254,0.04049,1.1551,1.4347,0.9576
31,val,0.58168,0.58124,0.08728,3.9405,4.7716,0.3940
32,train,0.05768,0.05763,0.01114,1.1248,1.5025,0.9609
32,val,0.66073,0.66028,0.08950,4.1479,5.0857,0.3116
