epoch,phase,total,main,murray,press,smooth,physio,mono,spread,mae,rmse,r2
1,train,7.24865,6.75889,0.00149,0.00002,0.01292,0.00036,0.00000,0.97892,12.3490,14.4680,-2.7273
1,val,5.11993,4.61890,0.00768,0.00008,0.01722,0.05571,0.00000,0.99888,11.3711,12.9803,-3.3114
2,train,5.00232,4.51373,0.01959,0.00001,0.01273,0.00045,0.00000,0.97242,10.5967,12.5281,-2.5408
2,val,4.48260,3.98316,0.02363,0.00008,0.01722,0.06207,0.00000,0.99123,9.6802,11.4484,-2.3538
3,train,6.15489,5.67690,0.04519,0.00001,0.01600,0.00037,0.00000,0.94395,9.8101,11.9774,-1.6351
3,val,3.72840,3.23393,0.05639,0.00008,0.01722,0.06471,0.00000,0.97148,7.5874,9.4981,-1.3085
4,train,5.64189,5.16936,0.07037,0.00003,0.01294,0.00041,0.00000,0.92370,8.8741,10.5676,-0.9459
4,val,3.10035,2.61950,0.02842,0.00008,0.01722,0.06428,0.00000,0.94428,6.0735,7.7560,-0.5393
5,train,3.87643,3.43784,0.03634,0.00002,0.01309,0.00041,0.00000,0.85471,6.5071,8.1219,-0.2266
5,val,2.68726,2.23256,0.01658,0.00008,0.01722,0.06269,0.00000,0.88828,5.2162,6.7352,-0.1608
6,train,2.56310,2.16609,0.02329,0.00002,0.01156,0.00039,0.00000,0.77030,5.3496,6.3123,0.2196
6,val,2.46282,2.08401,0.01744,0.00008,0.01722,0.05968,0.00000,0.73244,4.9543,6.5009,-0.0814
7,train,3.08137,2.74236,0.05609,0.00001,0.01298,0.00037,0.00000,0.64295,5.3350,6.6329,0.1963
7,val,1.92018,1.68510,0.04203,0.00009,0.01722,0.05349,0.00000,0.43046,4.7296,5.8417,0.1268
8,train,1.24331,1.07021,0.09156,0.00002,0.01225,0.00043,0.00000,0.29161,3.6453,4.5523,0.5856
8,val,1.99252,1.87283,0.04537,0.00009,0.01722,0.04626,0.00000,0.18859,5.1481,6.8319,-0.1943
9,train,0.43903,0.40012,0.06757,0.00002,0.00845,0.00040,0.00000,0.01152,2.9193,3.9086,0.6758
9,val,1.71443,1.64543,0.01786,0.00008,0.01722,0.04227,0.00000,0.07900,5.4136,6.9932,-0.2514
10,train,0.33399,0.29742,0.04787,0.00004,0.00866,0.00049,0.00000,0.00262,2.4822,3.2915,0.8059
10,val,1.72089,1.61785,0.02616,0.00008,0.01722,0.03888,0.00000,0.14069,5.2782,6.7631,-0.1704
11,train,0.68997,0.62933,0.03585,0.00002,0.01373,0.00047,0.00000,0.05813,3.0870,3.7417,0.7676
11,val,1.78557,1.70065,0.02961,0.00007,0.01722,0.03608,0.00000,0.10606,5.0926,6.8671,-0.2067
12,train,0.78613,0.74297,0.04493,0.00003,0.00991,0.00041,0.00000,0.01528,3.4779,4.4739,0.6151
12,val,1.72137,1.66184,0.02199,0.00007,0.01722,0.03458,0.00000,0.04998,5.3183,7.1697,-0.3154
13,train,0.51973,0.46592,0.07858,0.00003,0.00937,0.00034,0.00000,0.01757,2.8099,3.5657,0.7861
13,val,1.50592,1.44532,0.02633,0.00007,0.01722,0.03263,0.00000,0.04049,5.6603,7.0236,-0.2623
14,train,0.49226,0.43261,0.06352,0.00003,0.01200,0.00037,0.00000,0.02824,2.6599,3.2402,0.8338
14,val,1.58040,1.49675,0.01181,0.00006,0.01722,0.03309,0.00000,0.09579,4.8242,6.4444,-0.0627
15,train,0.55261,0.49653,0.05240,0.00001,0.01046,0.00032,0.00000,0.03388,2.4943,3.2313,0.8477
15,val,1.76076,1.69155,0.02203,0.00006,0.01722,0.03536,0.00000,0.07145,5.0536,7.0540,-0.2733
16,train,0.55148,0.49879,0.03599,0.00001,0.01362,0.00046,0.00000,0.04329,2.7321,3.7502,0.7530
16,val,1.93933,1.86929,0.01722,0.00006,0.01722,0.03799,0.00000,0.07642,5.1703,7.2725,-0.3534
17,train,0.35845,0.32472,0.02647,0.00001,0.01358,0.00051,0.00000,0.00034,2.5746,3.3107,0.7864
17,val,1.64223,1.55719,0.02578,0.00008,0.01722,0.04064,0.00000,0.08873,5.1133,6.7925,-0.1806
18,train,0.57976,0.51083,0.04280,0.00001,0.01724,0.00039,0.00000,0.05094,2.9879,3.8000,0.7743
18,val,1.72179,1.61454,0.02924,0.00008,0.01722,0.04015,0.00000,0.12685,4.9970,6.7223,-0.1563
19,train,0.51956,0.46208,0.04097,0.00004,0.01319,0.00044,0.00000,0.01427,3.0070,3.7615,0.7145
19,val,1.77376,1.66592,0.04739,0.00008,0.01722,0.03835,0.00000,0.12132,5.1364,6.9326,-0.2298
20,train,0.51091,0.45436,0.07425,0.00001,0.01075,0.00040,0.00000,0.00292,2.5020,3.1634,0.8546
20,val,1.93268,1.82025,0.05575,0.00007,0.01722,0.03870,0.00000,0.14048,5.2139,7.0529,-0.2729
21,train,0.26621,0.21733,0.04009,0.00002,0.00989,0.00048,0.00000,0.01189,1.9982,2.8495,0.8558
21,val,1.70011,1.58630,0.01960,0.00007,0.01722,0.03770,0.00000,0.14463,5.0273,6.6370,-0.1272
22,train,0.32245,0.27788,0.02612,0.00001,0.01166,0.00035,0.00000,0.00086,2.2529,3.3695,0.8064
22,val,1.90071,1.78729,0.01155,0.00006,0.01722,0.03913,0.00000,0.15192,4.7953,6.7536,-0.1671
23,train,0.31192,0.26612,0.02155,0.00001,0.00919,0.00038,0.00000,0.01520,1.8498,2.5515,0.8792
23,val,1.76554,1.65906,0.03578,0.00007,0.01722,0.03964,0.00000,0.11754,5.3963,6.9699,-0.2431
24,train,0.27742,0.23091,0.02371,0.00001,0.00763,0.00046,0.00000,0.00249,2.0719,2.7408,0.8313
24,val,1.68700,1.57379,0.01446,0.00007,0.01722,0.03760,0.00000,0.14051,5.1861,6.6000,-0.1147
25,train,0.45719,0.40650,0.01694,0.00002,0.01396,0.00046,0.00000,0.01287,2.4757,3.2558,0.8007
25,val,1.70009,1.57861,0.00975,0.00006,0.01722,0.03789,0.00000,0.16809,4.8760,6.3524,-0.0326
26,train,0.32469,0.27588,0.01337,0.00001,0.01178,0.00045,0.00000,0.01102,1.9531,2.6048,0.8674
26,val,1.65105,1.52689,0.00744,0.00006,0.01722,0.03899,0.00000,0.17337,5.1535,6.3663,-0.0371
27,train,0.33200,0.28237,0.01269,0.00002,0.01270,0.00041,0.00000,0.00819,1.8324,2.4119,0.9050
27,val,1.70796,1.60056,0.00727,0.00006,0.01722,0.04003,0.00000,0.14668,4.9810,6.5758,-0.1065
28,train,0.29111,0.24879,0.01520,0.00002,0.01387,0.00046,0.00000,0.00254,2.0149,2.6864,0.8813
28,val,1.59914,1.51316,0.00530,0.00007,0.01722,0.03964,0.00000,0.10153,5.1451,6.7432,-0.1635
29,train,0.46337,0.42120,0.01013,0.00002,0.01270,0.00042,0.00000,0.00214,2.4432,3.0478,0.8453
29,val,1.61120,1.51535,0.00444,0.00007,0.01722,0.03957,0.00000,0.12430,4.9020,6.5454,-0.0963
