epoch,phase,total,main,murray,press,smooth,physio,mono,spread,mae,rmse,r2
27,val,0.43387,0.39523,0.01144,0.00000,0.00932,0.00060,0.00000,0.00000,3.3464,4.1501,0.6153
28,train,0.26073,0.21390,0.04317,0.00003,0.01261,0.00305,0.00000,0.00000,1.8280,2.3353,0.9149
28,val,0.32853,0.28849,0.02360,0.00000,0.00932,0.00061,0.00000,0.00000,2.7559,3.6063,0.7095
29,train,0.23737,0.19040,0.02908,0.00003,0.01539,0.00042,0.00000,0.00425,1.5783,2.0760,0.9304
29,val,0.33122,0.29107,0.03310,0.00000,0.00932,0.00062,0.00000,0.00000,2.8348,3.6045,0.7098
30,train,0.31457,0.25747,0.02661,0.00005,0.01067,0.00150,0.00000,0.00895,2.1963,2.8261,0.8262
30,val,0.45016,0.40411,0.02724,0.00000,0.00932,0.00063,0.00000,0.00000,3.3557,4.1306,0.6189
31,train,0.29450,0.24819,0.02658,0.00003,0.01508,0.00071,0.00000,0.00001,1.9066,2.6115,0.8878
31,val,0.34622,0.31112,0.01641,0.00000,0.00932,0.00065,0.00000,0.00000,2.9273,3.6684,0.6994
32,train,0.40609,0.36600,0.02636,0.00005,0.01629,0.00113,0.00000,0.00270,2.0912,2.7478,0.8897
32,val,0.40078,0.36889,0.01583,0.00000,0.00932,0.00064,0.00000,0.00000,2.9133,3.8294,0.6725
33,train,0.32868,0.28691,0.01725,0.00001,0.01263,0.00060,0.00000,0.00729,2.1616,2.8302,0.8478
33,val,0.43778,0.39676,0.00832,0.00000,0.00932,0.00065,0.00000,0.00000,3.3079,3.9975,0.6431
34,train,0.25929,0.20048,0.01478,0.00003,0.01394,0.00045,0.00000,0.01426,1.7303,2.5429,0.8931
34,val,0.45699,0.41312,0.00873,0.00000,0.00932,0.00065,0.00000,0.00000,3.2865,3.9834,0.6456
35,train,0.32888,0.27033,0.01537,0.00004,0.01664,0.00099,0.00000,0.01570,2.0447,2.7506,0.8478
35,val,0.32918,0.29140,0.01146,0.00000,0.00932,0.00066,0.00000,0.00000,2.6669,3.4742,0.7304
36,train,0.21835,0.17494,0.01776,0.00007,0.01310,0.00053,0.00000,0.00702,1.6987,2.3311,0.9076
36,val,0.32194,0.28192,0.01169,0.00000,0.00932,0.00067,0.00000,0.00000,2.5884,3.4025,0.7414
37,train,0.25978,0.21163,0.01871,0.00007,0.01085,0.00097,0.00000,0.00516,1.6674,2.3570,0.9003
37,val,0.36531,0.31689,0.01546,0.00000,0.00932,0.00068,0.00000,0.00000,2.7811,3.5083,0.7251
38,train,0.20844,0.16222,0.01475,0.00003,0.01224,0.00073,0.00000,0.00005,1.8287,2.7458,0.8525
38,val,0.32644,0.28206,0.01649,0.00000,0.00932,0.00068,0.00000,0.00000,2.5866,3.4200,0.7388
39,train,0.34829,0.30628,0.01817,0.00002,0.01785,0.00086,0.00000,0.00687,1.9063,2.8978,0.8265
39,val,0.36364,0.31895,0.01696,0.00000,0.00932,0.00067,0.00000,0.00071,2.7978,3.4845,0.7288
40,train,0.30710,0.25295,0.02171,0.00007,0.01284,0.00162,0.00000,0.00332,1.8912,2.9282,0.8345
40,val,0.44228,0.39213,0.01301,0.00000,0.00932,0.00066,0.00000,0.00000,3.0919,3.8106,0.6757
41,train,0.21923,0.16811,0.02087,0.00008,0.01380,0.00050,0.00000,0.00348,1.8752,2.6823,0.8705
41,val,0.41921,0.37392,0.00576,0.00000,0.00932,0.00066,0.00000,0.00212,2.9885,3.6310,0.7055
42,train,0.20882,0.15418,0.01436,0.00004,0.01388,0.00051,0.00000,0.00996,1.5838,2.2183,0.9193
42,val,0.46682,0.42603,0.00348,0.00000,0.00932,0.00067,0.00000,0.00206,3.0218,3.7261,0.6899
43,train,0.23185,0.17862,0.01527,0.00003,0.01195,0.00050,0.00000,0.01628,1.5258,2.1133,0.9218
43,val,0.47358,0.42754,0.00655,0.00000,0.00932,0.00069,0.00000,0.00000,3.3399,4.0448,0.6346
44,train,0.21019,0.16270,0.01836,0.00001,0.01668,0.00063,0.00000,0.00092,1.6218,2.2733,0.9056
44,val,0.37423,0.33322,0.00608,0.00000,0.00932,0.00071,0.00000,0.00000,2.7893,3.6169,0.7078
45,train,0.20262,0.15414,0.01745,0.00005,0.01196,0.00055,0.00000,0.00502,1.8065,2.4695,0.8741
45,val,0.52446,0.47736,0.00717,0.00000,0.00932,0.00072,0.00000,0.00000,3.3347,4.0747,0.6292
